Ball,Signal,Type,Number,Pin
,,,,
AE19,GPIO4_26,J,2,66
C3,RGMII2_TCTL,J,4,78
C5,RGMII2_RCTL,J,4,66
C6,RGMII2_TD3,J,4,86
A4,RGMII2_TD2,J,4,84
D7,RGMII2_TD1,J,4,82
E7,RGMII2_TD0,J,4,80
E8,RGMII2_TCLK,J,4,76
F6,RGMII2_RCLK,J,4,100
F7,RGMII2_RD3,J,4,74
B4,RGMII2_RD2,J,4,72
G8,RGMII2_RD1,J,4,70
D8,RGMII2_RD0,J,4,68
A8,GPIO1_29,J,2,69
B9,MMC1_CLK,J,2,39
F10,MMC1_CMD,J,2,41
B12,MMC2_CMD,J,3,97
E10,GPIO2_3,J,2,97
A2,GPIO0_30,J,2,63
D10,GPIO2_4,J,2,95
B3,GPIO0_31,J,2,61
B5,GPIO1_0,J,2,32
A5,GPIO1_1,J,2,34
B6,GPIO1_2,J,2,20
A6,GPIO1_3,J,3,7
B7,GPIO1_4,J,4,98
A7,GPIO1_5,J,4,96
C8,GPIO1_6,J,4,18
B8,GPIO1_7,J,2,99
B10,MMC1_DAT0,J,2,43
A10,MMC1_DAT1,J,2,45
F11,MMC1_DAT2,J,2,47
D11,MMC1_DAT3,J,2,49
E11,MMC2_DAT0,J,3,95
C11,MMC2_DAT1,J,3,93
B11,MMC2_DAT2,J,3,91
A11,MMC2_DAT3,J,3,89
A9,SPI0_CS3,J,4,31
C10,SPI3_CS1,J,4,45
A3,GPIO1_28,J,2,30
A12,MMC2_CLK,J,3,99
L25,UART4_RXD,J,2,4
J25,UART4_TXD,J,2,6
K25,UART0_RXD,J,4,1
J24,UART0_TXD,J,4,3
K22,I2C2_SDA,J,2,33
L22,I2C2_SCL,J,2,31
K21,GPIO0_14,J,4,22
L21,GPIO0_15,J,4,20
H22,UART3_CTS_N,J,2,23
K24,UART3_RTS_N,J,2,25
H25,UART3_RXD,J,4,5
H24,UART3_TXD,J,4,7
D1,MMC0_CLK,U,7,M6
D2,MMC0_CMD,U,7,M5
C1,MMC0_DAT0,U,7,A3
C2,MMC0_DAT1,U,7,A4
B2,MMC0_DAT2,U,7,A5
B1,MMC0_DAT3,U,7,B2
T20,GPIO0_5,U,1,18
R25,GPIO0_6,J,2,44
T22,SPI0_D0,J,4,33
T21,SPI0_D1,J,4,35
P23,SPI0_SCLK,J,4,29
T23,GPIO0_23,J,2,29
P22,GPIO0_20,J,4,92
P20,GPIO0_21,J,2,73
N20,GPIO0_22,J,2,38
N25,SPI4_CS0,U,1,20
R24,SPI4_D0,U,1,24
P24,SPI4_D1,U,1,21
P25,SPI4_SCLK,U,1,19
AE18,I2C1_SDA,J,2,79
AB18,I2C1_SCL,J,2,77
Y18,GPIO4_24,J,2,40
AA18,GPIO4_25,J,2,70
AE19,GPIO4_26,J,2,66
AD19,GPIO4_27,J,2,68
AE20,GPIO4_28,J,2,24
AD20,GPIO4_29,J,2,28
AB19,DSS_DATA18,U,12,54
AA19,DSS_DATA17,U,12,52
AC18,DSS_DATA21,U,12,3
AE17,DSS_DATA23,U,12,2
AC20,DSS_DATA19,U,12,55
AD18,DSS_DATA22,U,12,50
AD17,DSS_DATA20,U,12,56
AB20,SPI3_D0,J,2,12
AC21,SPI3_D1,J,2,14
AD21,GPIO4_16,J,2,22
AE22,SPI3_SCLK,J,2,16
AD22,UART2_RXD,U,2,31
AE23,UART2_TXD,U,2,32
AD23,UART2_CTS,U,2,33
AE24,UART2_RTS,U,2,34
AD24,SPI2_D0,J,4,21
AC24,DSS_DATA16,U,12,51
AC25,GPIO4_12,J,2,18
AD25,SPI2_CS0,J,4,19
AE21,SPI2_SCLK,J,4,17
AC23,SPI1_CS2,J,4,40
AB25,SPI2_D1,J,4,23
AA12,ADC0_AIN0,J,4,2
Y12,ADC0_AIN1,J,4,4
Y13,ADC0_AIN2,J,4,6
AA13,ADC0_AIN3,J,4,8
AB13,ADC0_AIN4,J,4,10
AC13,ADC0_AIN5,J,4,12
AD13,ADC0_AIN6,J,4,14
AE13,ADC0_AIN7,J,4,16
AC16,ADC1_AIN0,J,2,11
AB16,ADC1_AIN1,J,2,13
AA16,ADC1_AIN2,J,2,15
AB15,ADC1_AIN3,J,2,17
AA15,ADC1_AIN4,J,2,19
Y15,ADC1_AIN5,J,2,21
AE16,ADC1_AIN6,J,4,34
